Order_ID,Order_Date,Customer_ID,Customer_Name,Age,Gender,City,Product,Category,Quantity,Unit_Price,Total_Sales,Order_Date_Year,Order_Date_Month,Order_Date_Day,Revenue_Category,Age_Group,Purchase_Month_Name,Order_Day_Of_Week,Customer_Sales_Category
Ord100046,2025-04-26,Cust5903,Customer_396,27,Female,Hyderabad,Shoes,Fashion,9,1491.63,13424.67,2025,4,26,Low_Revenue,Young Adult,April,Saturday,Low_Spender
Ord100047,2025-05-11,Cust4943,Customer_198,34,Male,Mumbai,Rice,Grocery,2,6210.24,12420.48,2025,5,11,Low_Revenue,Young Adult,May,Sunday,Low_Spender
Ord100048,2025-09-02,Cust4750,Customer_78,42,Female,Delhi,Mobile,Electronics,2,47649.61,95299.22,2025,9,2,Medium_Revenue,Adult,September,Tuesday,Medium_Spender
Ord100049,2025-10-25,Cust2705,Customer_117,55,Male,Kolkata,Mobile,Electronics,5,24854.05,124270.25,2025,10,25,Medium_Revenue,Adult,October,Saturday,Medium_Spender
Ord100050,2025-10-03,Cust5523,Customer_432,41,Male,Pune,Chair,Furniture,9,30834.87,277513.83,2025,10,3,High_Revenue,Adult,October,Friday,High_Spender
Ord100051,2025-02-27,Cust1557,Customer_87,39,Female,Mumbai,Chair,Furniture,6,20561.97,123371.82,2025,2,27,Medium_Revenue,Adult,February,Thursday,Medium_Spender
Ord100052,2025-09-09,Cust2062,Customer_254,58,Male,Patna,Book,Education,10,49367.75,493677.5,2025,9,9,High_Revenue,Senior,September,Tuesday,High_Spender
Ord100053,2025-06-08,Cust9203,Customer_70,33,Male,Delhi,Laptop,Electronics,6,4656.1,27936.6,2025,6,8,Low_Revenue,Young Adult,June,Sunday,Low_Spender
Ord100054,2025-07-07,Cust8053,Customer_408,58,Male,Delhi,Rice,Grocery,7,42345.82,296420.74,2025,7,7,High_Revenue,Senior,July,Monday,High_Spender
Ord100055,2025-04-16,Cust1017,Customer_387,42,Female,Pune,Shoes,Fashion,7,37747.24,264230.68,2025,4,16,High_Revenue,Adult,April,Wednesday,High_Spender
Ord100056,2025-11-16,Cust2690,Customer_11,26,Male,Delhi,Book,Education,2,33304.17,66608.34,2025,11,16,Low_Revenue,Young Adult,November,Sunday,Low_Spender
Ord100057,2025-12-07,Cust2791,Customer_20,58,Female,Bengaluru,Laptop,Electronics,6,41157.44,246944.64,2025,12,7,High_Revenue,Senior,December,Sunday,High_Spender
Ord100058,2025-03-12,Cust4496,Customer_53,18,Female,Bengaluru,Chair,Furniture,7,47669.63,333687.41,2025,3,12,High_Revenue,Youth,March,Wednesday,High_Spender
Ord100059,2025-12-12,Cust8811,Customer_115,50,Female,Bengaluru,Chair,Furniture,1,44708.5,44708.5,2025,12,12,Low_Revenue,Adult,December,Friday,Low_Spender
Ord100060,2025-01-15,Cust2411,Customer_292,47,Female,Mumbai,Mobile,Electronics,5,36809.08,184045.4,2025,1,15,High_Revenue,Adult,January,Wednesday,High_Spender
Ord100061,2025-11-08,Cust2350,Customer_205,46,Male,Pune,Mobile,Electronics,4,25292.97,101171.88,2025,11,8,Medium_Revenue,Adult,November,Saturday,Medium_Spender
Ord100062,2025-07-06,Cust9745,Customer_48,27,Male,Mumbai,Shoes,Fashion,1,29263.26,29263.26,2025,7,6,Low_Revenue,Young Adult,July,Sunday,Low_Spender
Ord100063,2025-07-15,Cust6236,Customer_312,43,Female,Kolkata,Laptop,Electronics,3,5679.91,17039.73,2025,7,15,Low_Revenue,Adult,July,Tuesday,Low_Spender
Ord100064,2025-09-26,Cust1887,Customer_209,21,Male,Hyderabad,Chair,Furniture,6,46235.96,277415.76,2025,9,26,High_Revenue,Young Adult,September,Friday,High_Spender
Ord100065,2025-05-16,Cust5386,Customer_125,47,Male,Gaya,Rice,Grocery,9,27164.06,244476.54,2025,5,16,High_Revenue,Adult,May,Friday,High_Spender
Ord100066,2025-07-25,Cust8065,Customer_92,53,Male,Kolkata,Mobile,Electronics,10,8905.49,89054.9,2025,7,25,Medium_Revenue,Adult,July,Friday,Medium_Spender
Ord100067,2025-01-30,Cust8841,Customer_407,36,Female,Patna,Book,Education,10,17406.52,174065.2,2025,1,30,High_Revenue,Adult,January,Thursday,Medium_Spender
Ord100068,2025-02-25,Cust5871,Customer_335,39,Female,Delhi,Chair,Furniture,5,27366.58,136832.9,2025,2,25,Medium_Revenue,Adult,February,Tuesday,Medium_Spender
Ord100069,2025-06-24,Cust9869,Customer_394,40,Female,Hyderabad,Book,Education,5,41282.63,206413.15,2025,6,24,High_Revenue,Adult,June,Tuesday,High_Spender
Ord100070,2025-08-15,Cust9017,Customer_51,26,Female,Delhi,Book,Education,8,13645.41,109163.28,2025,8,15,Medium_Revenue,Young Adult,August,Friday,Medium_Spender
Ord100071,2025-10-21,Cust1808,Customer_150,56,Male,Patna,Chair,Furniture,8,27337.64,218701.12,2025,10,21,High_Revenue,Senior,October,Tuesday,High_Spender
Ord100072,2025-08-25,Cust2565,Customer_360,52,Female,Hyderabad,Shoes,Fashion,5,29219.72,146098.6,2025,8,25,Medium_Revenue,Adult,August,Monday,Medium_Spender
Ord100073,2025-06-19,Cust4958,Customer_160,45,Male,Gaya,Rice,Grocery,3,8572.65,25717.95,2025,6,19,Low_Revenue,Adult,June,Thursday,Low_Spender
Ord100074,2025-12-04,Cust7587,Customer_223,27,Male,Pune,Laptop,Electronics,9,45419.62,408776.58,2025,12,4,High_Revenue,Young Adult,December,Thursday,High_Spender
Ord100075,2025-03-30,Cust2157,Customer_31,58,Male,Patna,Mobile,Electronics,4,21599.26,86397.04,2025,3,30,Medium_Revenue,Senior,March,Sunday,Medium_Spender
Ord100076,2025-12-30,Cust8430,Customer_277,45,Male,Gaya,Laptop,Electronics,2,8883.45,17766.9,2025,12,30,Low_Revenue,Adult,December,Tuesday,Low_Spender
Ord100077,2025-12-27,Cust1956,Customer_317,22,Female,Bengaluru,Shoes,Fashion,9,12290.45,110614.05,2025,12,27,Medium_Revenue,Young Adult,December,Saturday,Medium_Spender
Ord100078,2025-04-14,Cust9846,Customer_298,58,Female,Patna,Book,Education,6,10784.64,64707.84,2025,4,14,Low_Revenue,Senior,April,Monday,Low_Spender
Ord100079,2026-01-01,Cust4706,Customer_34,62,Female,Delhi,Rice,Grocery,1,35862.34,35862.34,2026,1,1,Low_Revenue,Senior,January,Thursday,High_Spender
Ord100080,2025-08-21,Cust5607,Customer_265,61,Female,Gaya,Rice,Grocery,1,13129.64,13129.64,2025,8,21,Low_Revenue,Senior,August,Thursday,Low_Spender
Ord100081,2025-03-05,Cust8211,Customer_62,19,Female,Gaya,Chair,Furniture,9,45747.37,411726.33,2025,3,5,High_Revenue,Young Adult,March,Wednesday,High_Spender
Ord100082,2025-09-01,Cust5367,Customer_499,25,Female,Hyderabad,Book,Education,6,5849.89,35099.34,2025,9,1,Low_Revenue,Young Adult,September,Monday,Low_Spender
Ord100083,2025-01-06,Cust8346,Customer_384,30,Male,Hyderabad,Laptop,Electronics,9,48845.5,439609.5,2025,1,6,High_Revenue,Young Adult,January,Monday,High_Spender
Ord100084,2025-10-24,Cust7484,Customer_478,36,Male,Gaya,Book,Education,9,24828.05,223452.45,2025,10,24,High_Revenue,Adult,October,Friday,High_Spender
Ord100085,2025-03-07,Cust7911,Customer_7,59,Male,Delhi,Mobile,Electronics,8,17841.4,142731.2,2025,3,7,Medium_Revenue,Senior,March,Friday,Medium_Spender
Ord100086,2025-08-24,Cust4229,Customer_234,51,Male,Hyderabad,Book,Education,10,13662.66,136626.6,2025,8,24,Medium_Revenue,Adult,August,Sunday,Medium_Spender
Ord100087,2025-03-17,Cust2290,Customer_195,56,Male,Mumbai,Book,Education,4,12169.49,48677.96,2025,3,17,Low_Revenue,Senior,March,Monday,Low_Spender
Ord100088,2025-12-17,Cust1246,Customer_165,59,Female,Kolkata,Mobile,Electronics,6,349.06,2094.36,2025,12,17,Low_Revenue,Senior,December,Wednesday,Low_Spender
Ord100089,2025-04-16,Cust3689,Customer_179,44,Female,Delhi,Laptop,Electronics,8,20498.74,163989.92,2025,4,16,High_Revenue,Adult,April,Wednesday,High_Spender
Ord100090,2025-10-29,Cust7476,Customer_45,21,Female,Hyderabad,Book,Education,9,13111.39,118002.51,2025,10,29,Medium_Revenue,Young Adult,October,Wednesday,Medium_Spender
Ord100091,2025-12-15,Cust7037,Customer_45,34,Male,Mumbai,Rice,Grocery,9,45000.49,405004.41,2025,12,15,High_Revenue,Young Adult,December,Monday,High_Spender
Ord100092,2025-12-24,Cust8578,Customer_154,48,Male,Kolkata,Laptop,Electronics,2,3455.06,6910.12,2025,12,24,Low_Revenue,Adult,December,Wednesday,Low_Spender
Ord100093,2025-04-28,Cust6618,Customer_311,19,Male,Pune,Shoes,Fashion,8,28874.64,230997.12,2025,4,28,High_Revenue,Young Adult,April,Monday,High_Spender
Ord100094,2025-11-07,Cust4650,Customer_370,32,Male,Delhi,Shoes,Fashion,3,47917.49,143752.47,2025,11,7,Medium_Revenue,Young Adult,November,Friday,Medium_Spender
Ord100095,2025-02-19,Cust5091,Customer_375,47,Male,Bengaluru,Rice,Grocery,10,21399.51,213995.1,2025,2,19,High_Revenue,Adult,February,Wednesday,High_Spender
Ord100096,2025-05-31,Cust2190,Customer_318,38,Male,Hyderabad,Rice,Grocery,5,15127.88,75639.4,2025,5,31,Medium_Revenue,Adult,May,Saturday,Medium_Spender
Ord100097,2025-11-12,Cust7277,Customer_320,62,Female,Mumbai,Shoes,Fashion,7,41677.34,291741.38,2025,11,12,High_Revenue,Senior,November,Wednesday,High_Spender
Ord100098,2025-01-22,Cust8623,Customer_84,32,Male,Hyderabad,Mobile,Electronics,10,40745.55,407455.5,2025,1,22,High_Revenue,Young Adult,January,Wednesday,High_Spender
Ord100099,2025-02-13,Cust5232,Customer_395,54,Male,Gaya,Mobile,Electronics,2,31217.12,62434.24,2025,2,13,Low_Revenue,Adult,February,Thursday,Low_Spender
Ord100100,2025-11-02,Cust7462,Customer_379,41,Male,Patna,Laptop,Electronics,5,553.62,2768.1,2025,11,2,Low_Revenue,Adult,November,Sunday,Low_Spender
Ord100101,2025-10-05,Cust7588,Customer_67,47,Male,Pune,Rice,Grocery,4,6974.66,27898.64,2025,10,5,Low_Revenue,Adult,October,Sunday,Low_Spender
Ord100102,2025-12-19,Cust5005,Customer_176,20,Female,Kolkata,Book,Education,9,19437.88,174940.92,2025,12,19,High_Revenue,Young Adult,December,Friday,Medium_Spender
Ord100103,2025-01-14,Cust3210,Customer_15,43,Female,Mumbai,Laptop,Electronics,9,13617.93,122561.37,2025,1,14,Medium_Revenue,Adult,January,Tuesday,Medium_Spender
Ord100104,2025-12-12,Cust5926,Customer_308,54,Male,Gaya,Chair,Furniture,8,38897.58,311180.64,2025,12,12,High_Revenue,Adult,December,Friday,High_Spender
Ord100105,2025-11-23,Cust3809,Customer_394,44,Female,Gaya,Book,Education,6,8547.07,51282.42,2025,11,23,Low_Revenue,Adult,November,Sunday,Low_Spender
Ord100106,2025-10-26,Cust2079,Customer_35,44,Male,Mumbai,Chair,Furniture,7,46263.01,323841.07,2025,10,26,High_Revenue,Adult,October,Sunday,High_Spender
Ord100107,2025-08-09,Cust4881,Customer_389,32,Male,Patna,Book,Education,2,2814.55,5629.1,2025,8,9,Low_Revenue,Young Adult,August,Saturday,Low_Spender
Ord100108,2025-03-20,Cust6707,Customer_420,33,Male,Pune,Mobile,Electronics,8,41112.05,328896.4,2025,3,20,High_Revenue,Young Adult,March,Thursday,High_Spender
Ord100109,2025-09-18,Cust2796,Customer_471,29,Male,Patna,Book,Education,4,36826.88,147307.52,2025,9,18,Medium_Revenue,Young Adult,September,Thursday,Medium_Spender
Ord100110,2025-10-15,Cust5524,Customer_154,44,Male,Hyderabad,Chair,Furniture,3,42806.52,128419.56,2025,10,15,Medium_Revenue,Adult,October,Wednesday,Medium_Spender
Ord100111,2025-09-04,Cust9882,Customer_103,28,Female,Kolkata,Laptop,Electronics,6,5533.0,33198.0,2025,9,4,Low_Revenue,Young Adult,September,Thursday,Low_Spender
Ord100112,2025-03-01,Cust3001,Customer_341,32,Male,Gaya,Laptop,Electronics,3,2638.97,7916.91,2025,3,1,Low_Revenue,Young Adult,March,Saturday,Low_Spender
Ord100113,2025-01-17,Cust5433,Customer_355,49,Male,Delhi,Book,Education,4,25002.72,100010.88,2025,1,17,Medium_Revenue,Adult,January,Friday,Medium_Spender
Ord100114,2025-07-11,Cust3794,Customer_315,35,Female,Hyderabad,Book,Education,10,10391.75,103917.5,2025,7,11,Medium_Revenue,Young Adult,July,Friday,Medium_Spender
Ord100115,2025-09-09,Cust2345,Customer_302,48,Male,Bengaluru,Book,Education,10,22437.16,224371.6,2025,9,9,High_Revenue,Adult,September,Tuesday,High_Spender
Ord100116,2025-02-13,Cust8316,Customer_121,63,Female,Hyderabad,Laptop,Electronics,9,41053.56,369482.04,2025,2,13,High_Revenue,Senior,February,Thursday,High_Spender
Ord100117,2025-03-27,Cust9354,Customer_241,46,Female,Patna,Rice,Grocery,2,21391.19,42782.38,2025,3,27,Low_Revenue,Adult,March,Thursday,Low_Spender
Ord100118,2025-09-18,Cust2871,Customer_8,33,Female,Delhi,Chair,Furniture,4,36875.19,147500.76,2025,9,18,Medium_Revenue,Young Adult,September,Thursday,Medium_Spender
Ord100119,2025-04-10,Cust7341,Customer_457,49,Female,Hyderabad,Mobile,Electronics,4,41640.74,166562.96,2025,4,10,High_Revenue,Adult,April,Thursday,Medium_Spender
Ord100050,2025-01-22,Cust3194,Customer_114,34,Male,Kolkata,Book,Education,2,25795.55,51591.1,2025,1,22,Low_Revenue,Young Adult,January,Wednesday,Low_Spender
Ord100121,2025-05-19,Cust9563,Customer_166,24,Male,Gaya,Book,Education,8,4391.72,35133.76,2025,5,19,Low_Revenue,Young Adult,May,Monday,Low_Spender
Ord100122,2025-12-22,Cust2286,Customer_298,39,Female,Patna,Laptop,Electronics,2,18152.14,36304.28,2025,12,22,Low_Revenue,Adult,December,Monday,Low_Spender
Ord100123,2025-11-20,Cust2423,Customer_376,23,Male,Hyderabad,Mobile,Electronics,7,16254.12,113778.84,2025,11,20,Medium_Revenue,Young Adult,November,Thursday,Medium_Spender
Ord100124,2025-07-08,Cust2378,Customer_95,53,Male,Hyderabad,Shoes,Fashion,5,3805.27,19026.35,2025,7,8,Low_Revenue,Adult,July,Tuesday,Low_Spender
Ord100125,2025-01-14,Cust6995,Customer_374,33,Male,Hyderabad,Book,Education,7,46489.41,325425.87,2025,1,14,High_Revenue,Young Adult,January,Tuesday,High_Spender
Ord100126,2025-06-13,Cust3677,Customer_459,34,Female,Patna,Shoes,Fashion,1,17041.21,17041.21,2025,6,13,Low_Revenue,Young Adult,June,Friday,Low_Spender
Ord100127,2025-01-14,Cust6627,Customer_353,57,Male,Patna,Rice,Grocery,6,41494.43,248966.58,2025,1,14,High_Revenue,Senior,January,Tuesday,High_Spender
Ord100128,2025-12-04,Cust6238,Customer_258,55,Male,Gaya,Rice,Grocery,10,25930.1,259301.0,2025,12,4,High_Revenue,Adult,December,Thursday,High_Spender
Ord100129,2025-03-04,Cust8352,Customer_400,44,Male,Gaya,Laptop,Electronics,8,26281.83,210254.64,2025,3,4,High_Revenue,Adult,March,Tuesday,High_Spender
Ord100130,2025-03-09,Cust2870,Customer_495,33,Male,Patna,Mobile,Electronics,8,21833.32,174666.56,2025,3,9,High_Revenue,Young Adult,March,Sunday,High_Spender
Ord100131,2025-11-29,Cust4751,Customer_260,20,Male,Patna,Rice,Grocery,6,40577.1,243462.6,2025,11,29,High_Revenue,Young Adult,November,Saturday,High_Spender
Ord100132,2025-01-17,Cust7031,Customer_224,37,Female,Gaya,Shoes,Fashion,5,39039.96,195199.8,2025,1,17,High_Revenue,Adult,January,Friday,High_Spender
Ord100133,2025-03-25,Cust8366,Customer_355,65,Female,Bengaluru,Book,Education,10,29902.97,299029.7,2025,3,25,High_Revenue,Senior,March,Tuesday,High_Spender
Ord100134,2025-02-10,Cust2863,Customer_375,34,Female,Patna,Mobile,Electronics,7,18967.46,132772.22,2025,2,10,Medium_Revenue,Young Adult,February,Monday,Medium_Spender
Ord100135,2025-03-10,Cust8298,Customer_489,45,Female,Delhi,Mobile,Electronics,10,42943.17,429431.7,2025,3,10,High_Revenue,Adult,March,Monday,High_Spender
Ord100136,2025-03-21,Cust9577,Customer_302,46,Male,Mumbai,Laptop,Electronics,6,24216.91,145301.46,2025,3,21,Medium_Revenue,Adult,March,Friday,Medium_Spender
Ord100137,2025-05-30,Cust3054,Customer_96,28,Female,Mumbai,Chair,Furniture,9,7093.9,63845.1,2025,5,30,Low_Revenue,Young Adult,May,Friday,Low_Spender
Ord100138,2025-11-27,Cust6791,Customer_430,22,Female,Pune,Chair,Furniture,5,29748.17,148740.85,2025,11,27,Medium_Revenue,Young Adult,November,Thursday,Medium_Spender
Ord100139,2025-09-18,Cust7062,Customer_92,52,Male,Bengaluru,Laptop,Electronics,8,22563.72,180509.76,2025,9,18,High_Revenue,Adult,September,Thursday,Medium_Spender
Ord100140,2025-04-04,Cust6625,Customer_121,18,Male,Hyderabad,Mobile,Electronics,7,17321.68,121251.76,2025,4,4,Medium_Revenue,Youth,April,Friday,Medium_Spender
Ord100141,2025-01-25,Cust4824,Customer_98,24,Male,Gaya,Laptop,Electronics,9,25138.42,226245.78,2025,1,25,High_Revenue,Young Adult,January,Saturday,High_Spender
Ord100142,2025-07-31,Cust1339,Customer_107,54,Male,Kolkata,Book,Education,6,33887.35,203324.1,2025,7,31,High_Revenue,Adult,July,Thursday,High_Spender
Ord100143,2025-03-05,Cust1113,Customer_104,33,Female,Gaya,Shoes,Fashion,6,30177.21,181063.26,2025,3,5,High_Revenue,Young Adult,March,Wednesday,High_Spender
Ord100144,2025-06-30,Cust4034,Customer_271,32,Female,Kolkata,Mobile,Electronics,3,28572.4,85717.2,2025,6,30,Medium_Revenue,Young Adult,June,Monday,Medium_Spender
Ord100145,2025-12-06,Cust6997,Customer_244,28,Male,Gaya,Mobile,Electronics,4,6898.4,27593.6,2025,12,6,Low_Revenue,Young Adult,December,Saturday,Low_Spender
Ord100146,2025-03-12,Cust2480,Customer_491,59,Female,Gaya,Shoes,Fashion,1,20740.93,20740.93,2025,3,12,Low_Revenue,Senior,March,Wednesday,Low_Spender
Ord100147,2025-06-08,Cust9450,Customer_230,18,Male,Bengaluru,Laptop,Electronics,3,37576.35,112729.05,2025,6,8,Medium_Revenue,Youth,June,Sunday,Medium_Spender
Ord100148,2025-07-07,Cust8408,Customer_249,51,Female,Delhi,Mobile,Electronics,6,20416.04,122496.24,2025,7,7,Medium_Revenue,Adult,July,Monday,Medium_Spender
Ord100149,2025-09-17,Cust7178,Customer_478,64,Male,Bengaluru,Chair,Furniture,2,8092.78,16185.56,2025,9,17,Low_Revenue,Senior,September,Wednesday,Low_Spender
Ord100150,2025-04-01,Cust4132,Customer_47,41,Female,Patna,Chair,Furniture,4,1973.64,7894.56,2025,4,1,Low_Revenue,Adult,April,Tuesday,Low_Spender
Ord100151,2025-09-13,Cust4829,Customer_202,19,Female,Mumbai,Shoes,Fashion,8,41749.55,333996.4,2025,9,13,High_Revenue,Young Adult,September,Saturday,High_Spender
Ord100152,2025-02-08,Cust5188,Customer_286,53,Male,Gaya,Laptop,Electronics,9,48833.27,439499.43,2025,2,8,High_Revenue,Adult,February,Saturday,High_Spender
Ord100153,2025-06-26,Cust1928,Customer_17,30,Female,Mumbai,Mobile,Electronics,7,48642.53,340497.71,2025,6,26,High_Revenue,Young Adult,June,Thursday,High_Spender
